<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FIGXU.US,D,20250627,000000,10.02,10.02,10,10,10469129,0
FIGXU.US,D,20250630,000000,10.011,10.03,10,10.015,283939,0
FIGXU.US,D,20250701,000000,10,10.02,10,10.005,448817,0
FIGXU.US,D,20250702,000000,10.01,10.01,10,10.005,90950,0
FIGXU.US,D,20250703,000000,10,10.015,10,10.015,30941,0
FIGXU.US,D,20250707,000000,10.019,10.02,10.015,10.015,10166,0
FIGXU.US,D,20250708,000000,10.015,10.015,10.015,10.015,188193,0
FIGXU.US,D,20250709,000000,10.0186,10.025,10.01,10.025,53847,0
